Code,Area,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"1,46,043","1,48,413","1,39,566","1,31,873","1,36,344","1,42,328","1,48,007","1,49,608","1,56,418","2,13,794","2,13,568","2,17,317","2,27,377","2,34,913","2,35,523","2,36,697","2,32,854","2,06,771","2,14,423","2,26,076","2,55,964","2,68,057","2,95,789","2,85,685","2,66,277","2,55,967","2,44,239","2,61,105","2,70,879","2,97,951","3,13,641","3,19,898","3,22,733","3,02,354","2,96,582","3,00,293","2,92,696","3,17,368","3,21,729","3,23,203","3,29,697","3,33,271","3,36,928","3,56,220","3,74,654","4,02,895","4,30,009","4,73,261","4,90,706","4,88,830","4,73,844","4,30,785","4,12,940","3,94,770","4,21,877","4,27,827","4,49,611","4,68,528","4,92,036","5,18,363","5,24,581","5,51,928","5,59,837","5,38,396","5,41,192","5,19,473","5,06,388","5,34,541","5,37,160","5,76,071","6,41,040","7,12,848","7,75,504","8,00,764","8,10,172","8,78,768","8,94,046","9,02,590","9,31,764","9,29,347","9,26,292","9,35,604","9,17,834","8,95,825","9,28,037","9,29,037","9,53,512","9,61,783","9,50,760"
E09000002,Barking and Dagenham,"50,615","50,589","50,972","51,680","51,680","52,225","53,081","54,582","56,222","57,561","59,655","61,633","63,874","65,240","66,133","67,879","69,544","71,789","75,688","79,887","84,111","86,119","88,526","91,287","94,451","97,706","1,02,893","1,10,959","1,18,795","1,26,389","1,34,500","1,40,558","1,45,661","1,49,022","1,54,088","1,59,705","1,63,828","1,67,318","1,68,396","1,68,923","1,69,663","1,70,589","1,71,827","1,73,401","1,75,139","1,78,076","1,81,970","1,87,503","1,92,859","1,96,730","1,99,339","1,99,395","1,96,942","1,90,499","1,80,768","1,70,769","1,66,483","1,67,337","1,70,149","1,74,817","1,79,018","1,79,947","1,79,734","1,80,056","1,80,165","1,80,735","1,81,356","1,80,689","1,81,471","1,82,516","1,84,691","1,86,136","1,87,943","1,91,799","1,97,574","2,07,119","2,15,810","2,21,029","2,26,261","2,34,226","2,44,126","2,54,179","2,65,260","2,75,923","2,89,176","2,99,383","3,01,708","3,02,686","3,01,518"
E09000003,Barnet,"1,11,019","1,11,312","1,10,356","1,10,408","1,11,203","1,14,975","1,20,432","1,28,540","1,35,580","1,39,499","1,44,040","1,45,082","1,47,673","1,50,357","1,56,951","1,68,247","1,73,356","1,80,110","1,88,261","1,92,566","1,99,147","2,04,361","2,08,277","2,14,894","2,20,955","2,28,524","2,36,210","2,51,457","2,57,942","2,63,565","2,70,943","2,73,805","2,84,178","2,86,704","2,97,238","3,04,788","3,06,902","3,12,526","3,10,959","3,12,970","3,18,450","3,20,737","3,27,188","3,35,510","3,41,937","3,50,127","3,56,644","3,68,148","3,80,566","3,88,585","3,95,526","3,94,071","3,87,784","3,85,149","3,80,570","3,79,779","3,82,143","3,93,511","4,02,312","4,29,068","4,44,386","4,56,996","4,55,169","4,41,515","4,40,755","4,24,052","4,37,962","4,44,920","4,50,269","4,64,213","4,61,061","4,69,762","4,79,968","4,90,858","5,03,791","5,29,833","5,34,786","5,44,387","5,53,199","5,53,003","5,66,874","5,76,762","5,82,039","5,81,036","5,84,202","5,90,823","6,16,325","6,38,641","6,67,593"
E09000004,Bexley,"66,294","66,237","66,892","67,535","69,941","71,221","72,937","74,479","75,484","78,094","80,639","83,464","85,497","86,471","88,083","90,888","94,395","97,244","1,00,934","1,05,975","1,09,347","1,13,406","1,17,275","1,22,120","1,26,216","1,29,499","1,35,772","1,43,049","1,51,225","1,57,175","1,64,153","1,69,996","1,74,984","1,78,153","1,81,582","1,85,180","1,88,354","1,91,430","1,92,471","1,93,632","1,94,798","1,96,380","2,00,220","2,04,376","2,09,006","2,12,040","2,15,892","2,20,484","2,23,771","2,26,419","2,26,108","2,24,553","2,19,495","2,14,607","2,10,149","2,08,169","2,09,521","2,14,078","2,18,041","2,22,241","2,26,616","2,24,495","2,26,643","2,27,258","2,26,283","2,27,661","2,25,891","2,25,289","2,25,465","2,27,935","2,30,453","2,32,324","2,36,952","2,40,225","2,47,206","2,58,740","2,67,268","2,74,668","2,77,861","2,85,822","2,95,262","3,06,399","3,19,770","3,31,444","3,40,626","3,45,354","3,47,505","3,52,460","3,57,779"
E09000005,Brent,"77,258","78,576","79,455","81,030","82,824","85,174","87,618","91,095","96,499","99,886","1,05,385","1,09,341","1,11,868","1,14,410","1,15,185","1,19,513","1,25,958","1,32,770","1,41,417","1,49,040","1,54,194","1,57,967","1,63,589","1,71,172","1,75,865","1,81,500","1,88,694","1,98,420","2,10,014","2,16,474","2,22,446","2,26,904","2,30,062","2,35,216","2,41,379","2,47,039","2,49,534","2,52,598","2,55,392","2,60,484","2,66,301","2,68,834","2,72,755","2,77,810","2,84,109","2,90,656","2,99,635","3,13,218","3,21,197","3,28,586","3,32,668","3,30,942","3,28,763","3,24,429","3,18,751","3,15,397","3,22,691","3,21,005","3,26,529","3,37,142","3,45,055","3,55,371","3,62,081","3,61,550","3,60,423","3,64,499","3,68,615","3,82,601","3,95,126","3,98,642","4,06,327","4,18,762","4,29,877","4,43,359","4,51,091","4,58,691","4,68,859","4,81,269","4,91,118","4,94,092","5,06,322","5,15,414","5,17,225","5,26,828","5,17,497","5,18,109","5,36,120","5,47,212","5,78,705"
E09000006,Bromley,"93,441","94,248","94,768","96,802","97,597","98,496","99,637","1,02,123","1,05,027","1,07,770","1,11,639","1,15,193","1,18,048","1,20,150","1,25,292","1,31,777","1,38,486","1,44,810","1,50,975","1,58,684","1,64,025","1,68,156","1,73,498","1,77,342","1,82,176","1,85,380","1,90,907","2,00,574","2,09,252","2,18,303","2,27,314","2,33,278","2,38,066","2,41,175","2,46,983","2,53,429","2,59,452","2,61,741","2,64,408","2,66,298","2,67,788","2,71,188","2,73,731","2,77,798","2,82,058","2,86,189","2,94,255","3,06,050","3,16,391","3,21,168","3,20,312","3,18,035","3,04,375","3,02,607","2,98,434","2,90,219","3,01,946","3,04,674","3,15,267","3,26,287","3,27,306","3,29,496","3,29,436","3,33,054","3,36,236","3,33,060","3,32,992","3,31,857","3,33,020","3,36,649","3,39,067","3,42,553","3,54,045","3,60,047","3,73,059","3,89,488","3,97,487","4,10,234","4,18,085","4,29,597","4,41,675","4,51,676","4,61,829","4,69,729","4,78,142","4,83,847","4,89,823","4,96,853","5,02,623"
E09000007,Camden,"1,51,364","1,50,180","1,55,522","1,64,692","1,68,988","1,76,378","1,81,088","1,82,975","1,93,421","1,98,580","2,06,955","2,19,454","2,20,291","2,22,679","2,25,825","2,37,730","2,48,232","2,62,532","2,78,700","2,93,706","3,11,696","3,20,914","3,26,564","3,35,540","3,39,288","3,42,393","3,49,902","3,66,647","3,77,033","3,79,878","3,89,019","3,82,413","3,77,836","3,83,676","3,86,176","3,96,617","4,11,840","4,20,635","4,32,265","4,45,935","4,40,809","4,56,816","4,65,027","4,71,412","4,92,802","5,09,245","5,24,308","5,52,856","5,62,205","5,75,997","6,14,702","6,30,638","6,56,935","6,63,859","6,26,541","6,01,747","6,00,683","6,25,664","6,30,093","6,86,622","7,16,429","7,33,840","7,47,277","7,37,439","7,24,250","7,09,143","7,25,270","7,45,579","7,80,751","7,85,352","7,92,785","8,27,177","8,36,170","8,58,321","8,89,350","9,15,199","9,66,927","9,84,644","9,96,667","10,41,169","10,40,035","10,85,177","10,88,629","10,45,917","10,63,248","10,29,438","10,82,928","11,21,810","10,99,876"
E09000008,Croydon,"71,800","72,145","73,119","74,630","75,678","77,097","78,531","81,044","83,343","85,292","88,450","91,508","94,296","97,019","99,148","1,03,161","1,07,094","1,10,717","1,16,604","1,21,823","1,28,084","1,31,707","1,35,020","1,40,551","1,44,254","1,49,160","1,56,138","1,63,704","1,72,274","1,78,499","1,84,661","1,91,175","1,96,228","1,99,477","2,03,132","2,06,478","2,09,354","2,12,409","2,15,137","2,18,009","2,18,049","2,18,828","2,20,328","2,24,320","2,30,773","2,34,773","2,38,353","2,43,670","2,47,869","2,50,809","2,54,684","2,55,613","2,53,571","2,52,069","2,42,241","2,34,893","2,33,442","2,38,663","2,44,147","2,49,130","2,54,458","2,54,109","2,55,728","2,55,105","2,56,219","2,54,580","2,58,380","2,61,653","2,62,587","2,66,173","2,63,094","2,66,282","2,71,891","2,75,229","2,83,077","2,92,315","3,00,572","3,09,625","3,18,591","3,28,459","3,40,768","3,50,929","3,57,942","3,66,448","3,72,054","3,77,366","3,85,383","3,95,862","3,99,645"
E09000009,Ealing,"91,045","90,306","90,963","93,989","97,595","99,959","1,03,396","1,08,733","1,12,582","1,16,903","1,21,160","1,23,864","1,26,671","1,29,245","1,35,146","1,44,481","1,53,236","1,59,802","1,67,537","1,72,516","1,76,993","1,80,835","1,84,948","1,94,377","1,96,261","2,01,282","2,07,530","2,17,203","2,27,974","2,32,589","2,37,964","2,36,965","2,38,760","2,43,458","2,47,940","2,55,905","2,60,325","2,64,973","2,68,006","2,70,027","2,71,985","2,74,176","2,78,814","2,87,382","2,92,639","2,98,141","3,04,798","3,13,084","3,27,798","3,35,147","3,40,764","3,39,024","3,27,502","3,22,873","3,17,427","3,22,500","3,28,818","3,34,747","3,38,221","3,44,032","3,50,588","3,52,163","3,57,954","3,68,398","3,75,143","3,76,149","3,84,520","3,86,191","3,97,675","4,03,533","4,11,674","4,23,399","4,27,847","4,47,783","4,60,776","4,86,683","5,01,526","5,06,192","5,07,766","5,09,376","5,24,967","5,39,608","5,42,632","5,46,006","5,53,669","5,52,560","5,68,092","5,77,818","5,78,110"
E09000010,Enfield,"78,510","77,819","79,326","80,649","82,956","85,450","89,034","92,547","95,078","97,501","98,481","1,00,356","1,02,483","1,03,798","1,06,718","1,10,463","1,13,881","1,17,694","1,22,376","1,28,100","1,33,086","1,37,341","1,42,995","1,49,615","1,54,918","1,58,129","1,62,456","1,70,193","1,78,250","1,87,501","1,94,934","2,00,801","2,05,939","2,06,596","2,10,342","2,15,672","2,20,110","2,25,490","2,28,943","2,28,050","2,28,931","2,29,433","2,34,096","2,42,620","2,44,472","2,47,452","2,52,634","2,59,161","2,67,817","2,73,574","2,76,152","2,73,302","2,71,592","2,67,345","2,63,633","2,65,338","2,66,596","2,70,103","2,72,617","2,78,265","2,84,303","2,89,501","2,87,567","2,84,098","2,85,335","2,80,742","2,87,020","2,92,622","2,95,101","3,03,082","3,00,209","3,03,138","3,09,261","3,13,348","3,23,864","3,38,688","3,50,007","3,63,178","3,71,581","3,78,790","3,89,903","4,04,433","4,19,358","4,38,829","4,50,294","4,59,261","4,64,622","4,61,150","4,63,806"
E09000011,Greenwich,"73,079","73,498","75,722","75,908","76,051","77,946","78,322","80,710","82,966","83,946","87,002","89,420","93,892","96,759","99,996","1,06,391","1,11,953","1,15,141","1,21,010","1,26,150","1,30,980","1,36,199","1,40,157","1,45,258","1,48,821","1,54,364","1,61,006","1,69,424","1,76,529","1,79,015","1,84,352","1,89,960","1,94,558","1,96,316","1,98,923","2,03,770","2,08,339","2,14,116","2,20,373","2,22,396","2,25,123","2,27,237","2,29,941","2,35,855","2,37,557","2,41,251","2,46,712","2,51,771","2,60,342","2,64,979","2,70,948","2,70,535","2,67,688","2,66,531","2,54,025","2,62,239","2,64,755","2,72,505","2,80,175","2,89,934","2,96,528","2,96,229","2,97,034","2,96,191","2,96,637","2,93,986","2,94,322","2,89,781","2,93,544","2,97,684","3,02,635","3,16,448","3,30,113","3,38,461","3,57,073","3,65,534","3,69,977","3,72,919","3,71,073","3,82,598","4,01,116","4,17,230","4,26,328","4,34,975","4,45,432","4,52,824","4,56,559","4,63,022","4,62,820"
E09000012,Hackney,"71,607","73,233","73,166","74,597","75,653","76,834","80,626","84,634","89,193","92,478","96,091","1,00,052","1,03,205","1,07,182","1,12,235","1,20,482","1,28,381","1,35,157","1,41,987","1,48,238","1,55,478","1,58,979","1,66,920","1,73,208","1,78,984","1,83,969","1,88,965","1,97,249","2,04,119","2,09,716","2,15,013","2,21,086","2,24,569","2,29,012","2,33,346","2,34,994","2,36,936","2,38,846","2,40,076","2,43,037","2,49,624","2,53,059","2,59,889","2,68,776","2,75,795","2,83,918","2,91,199","3,05,566","3,13,566","3,18,847","3,27,871","3,24,069","3,18,166","3,19,013","2,96,991","3,03,744","3,13,700","3,17,652","3,35,968","3,44,246","3,45,288","3,47,773","3,43,681","3,45,224","3,54,522","3,55,782","3,63,159","3,71,572","3,79,410","3,87,506","4,01,228","4,17,913","4,30,254","4,48,611","4,65,307","4,85,170","5,01,633","5,07,517","5,24,610","5,40,253","5,64,761","5,87,108","5,94,696","6,09,711","6,02,843","5,98,546","6,02,686","6,03,130","6,14,955"
E09000013,Hammersmith and Fulham,"1,37,774","1,42,207","1,45,181","1,49,130","1,50,521","1,50,573","1,57,928","1,68,180","1,76,577","1,85,300","1,91,043","1,95,077","1,97,311","1,99,939","2,08,671","2,23,996","2,40,838","2,52,135","2,64,087","2,73,213","2,81,619","2,88,833","2,94,776","3,06,661","3,06,977","3,11,028","3,26,447","3,34,481","3,45,434","3,49,455","3,49,790","3,52,980","3,57,956","3,64,880","3,74,536","3,85,799","3,86,124","3,93,381","3,99,363","4,08,801","4,18,105","4,24,600","4,35,166","4,47,443","4,53,325","4,66,811","4,85,217","5,10,794","5,34,857","5,53,330","5,65,457","5,63,831","5,65,249","5,55,758","5,29,081","5,36,470","5,55,613","5,68,458","5,91,972","6,19,489","6,22,446","6,28,935","6,42,716","6,35,788","6,38,126","6,34,341","6,39,039","6,61,635","6,75,674","7,03,575","7,17,400","7,40,705","7,66,921","7,82,831","8,02,443","8,37,631","8,86,074","9,05,689","9,43,205","9,47,106","9,40,897","9,44,626","9,36,828","9,31,396","9,40,225","9,32,931","9,37,893","9,65,532","9,72,231"
E09000014,Haringey,"89,630","93,066","95,653","97,231","1,02,676","1,02,120","1,03,576","1,06,952","1,06,794","1,11,236","1,16,899","1,21,270","1,23,957","1,24,055","1,26,485","1,37,191","1,43,404","1,48,509","1,56,818","1,61,270","1,69,316","1,78,086","1,84,969","1,88,669","1,93,583","1,95,032","2,01,513","2,16,725","2,26,533","2,33,364","2,36,680","2,35,836","2,37,220","2,41,338","2,48,213","2,54,091","2,59,485","2,65,853","2,68,899","2,75,564","2,74,262","2,75,931","2,81,987","2,95,364","3,05,233","3,13,639","3,25,746","3,39,308","3,52,754","3,59,339","3,64,066","3,53,203","3,46,868","3,46,455","3,34,027","3,43,171","3,50,064","3,60,777","3,70,636","3,83,760","3,95,977","4,06,455","4,10,736","4,17,485","4,11,253","4,01,489","4,13,225","4,10,011","4,16,303","4,37,605","4,37,657","4,62,459","4,81,674","4,81,360","5,00,502","5,27,783","5,42,902","5,50,309","5,49,650","5,44,476","5,69,499","5,87,651","6,04,665","6,14,791","6,06,629","6,26,473","6,44,927","6,68,129","6,83,987"
E09000015,Harrow,"90,114","90,960","91,975","92,951","94,547","95,827","99,099","1,04,198","1,09,330","1,13,977","1,17,577","1,21,487","1,23,547","1,26,047","1,28,922","1,35,238","1,42,317","1,48,087","1,56,719","1,62,802","1,68,105","1,69,905","1,74,710","1,81,404","1,85,011","1,91,403","1,98,543","2,09,456","2,21,864","2,27,398","2,37,057","2,46,673","2,54,590","2,58,278","2,63,217","2,66,960","2,71,431","2,77,970","2,77,569","2,78,923","2,81,710","2,80,227","2,87,119","2,92,942","2,95,528","3,01,080","3,03,858","3,15,073","3,20,820","3,28,056","3,31,027","3,21,849","3,14,681","3,05,254","2,94,625","2,88,922","2,90,911","2,95,888","3,06,699","3,19,146","3,31,517","3,39,319","3,39,497","3,42,617","3,43,717","3,38,859","3,42,168","3,41,036","3,43,714","3,48,427","3,49,936","3,58,677","3,69,829","3,80,685","3,99,971","4,16,156","4,27,077","4,39,138","4,44,425","4,50,849","4,61,919","4,74,121","4,78,243","4,92,107","5,04,811","5,11,591","5,22,208","5,26,390","5,27,206"
E09000016,Havering,"75,226","75,437","76,473","76,968","79,625","80,378","82,066","84,084","84,998","86,354","89,447","92,437","95,269","98,096","1,00,278","1,03,845","1,06,996","1,09,213","1,13,445","1,17,686","1,22,976","1,26,453","1,29,851","1,33,763","1,36,554","1,40,223","1,46,505","1,55,421","1,63,234","1,70,641","1,77,266","1,85,002","1,92,244","1,95,232","2,00,767","2,05,282","2,08,511","2,14,631","2,16,435","2,18,142","2,19,961","2,19,214","2,20,448","2,25,080","2,27,975","2,30,698","2,35,664","2,42,676","2,46,249","2,50,075","2,52,554","2,49,519","2,46,272","2,41,705","2,33,061","2,23,867","2,25,795","2,33,073","2,39,727","2,49,981","2,57,191","2,54,925","2,54,924","2,48,713","2,48,856","2,45,343","2,44,242","2,45,749","2,45,160","2,50,582","2,50,973","2,56,084","2,57,481","2,62,831","2,70,882","2,75,351","2,84,185","2,89,735","2,94,134","3,08,594","3,17,807","3,28,298","3,36,475","3,47,685","3,58,601","3,66,822","3,72,863","3,79,656","3,87,535"
